library_id,name,street,city,state,zip,latitude,longitude,full_address
366491003,Edith Abbott Memorial Library,211 North Washington Street,Grand Island,NE,68801,40.920661,-98.351323,"211 North Washington Street, Grand Island, NE, 68801"
366490878,Greeley Public Library,102 South Kildare Street,Greeley,NE,68842,41.548009,-98.531095,"102 South Kildare Street, Greeley, NE, 68842"
366491324,Greenwood Public Library,619 Main Street,Greenwood,NE,68366,40.962522,-96.440171,"619 Main Street, Greenwood, NE, 68366"
6415419936,Greta Children's Library,119 North McKenna Avenue,Gretna,NE,68028,41.140352,-96.248339,"119 North McKenna Avenue, Gretna, NE, 68028"
366490964,Hildreth Public Library,248 Commercial Avenue,Hildreth,NE,68947,40.337315,-99.043276,"248 Commercial Avenue, Hildreth, NE, 68947"
366491128,Hooper Public Library,North Main Street,Hooper,NE,68031,41.612220,-96.547526,"North Main Street, Hooper, NE, 68031"
366491094,Howells Public Library,128 North 3rd Street,Howells,NE,68641,41.725681,-97.003139,"128 North 3rd Street, Howells, NE, 68641"
366490917,Grant County Library,105 East Harrison Street,Hyannis,NE,69350,42.000254,-101.760499,"105 East Harrison Street, Hyannis, NE, 69350"
366490922,Indianola Public Library,122 North 4th Street,Indianola,NE,69034,40.235075,-100.417498,"122 North 4th Street, Indianola, NE, 69034"
2084035772,Dan A Williams Branch Library,5000 Mike Scholl Street,Lincoln,NE,68524,40.862147,-96.789215,"5000 Mike Scholl Street, Lincoln, NE, 68524"
2290435784,Geology Library,1215 U Street,Lincoln,NE,68588,40.819968,-96.703062,"1215 U Street, Lincoln, NE, 68588"
2290419735,Love North & Adele Learning Commons,1300 R Street,Lincoln,NE,68588,40.818569,-96.702588,"1300 R Street, Lincoln, NE, 68588"
2290436133,Mathematics Library,1144 T Street,Lincoln,NE,68588,40.819310,-96.704371,"1144 T Street, Lincoln, NE, 68588"
2290421353,Music Library,1104 R Street,Lincoln,NE,68588,40.816499,-96.706027,"1104 R Street, Lincoln, NE, 68588"
366491307,South Branch Library,2675 South Street,Lincoln,NE,68502,40.791449,-96.682761,"2675 South Street, Lincoln, NE, 68502"
366491322,Louisville Public Library,217 Main Street,Louisville,NE,68037,41.000382,-96.162156,"217 Main Street, Louisville, NE, 68037"
366490906,Lynch Village Library,423 West Hoffman Street,Lynch,NE,68746,42.830493,-98.467739,"423 West Hoffman Street, Lynch, NE, 68746"
366491068,Webermeier Memorial Library,,Milford,NE,,40.772905,-97.052767,"Milford, NE"
366490949,Newman Grove Public Library,615 Hale Avenue,Newman Grove,NE,68758,41.746398,-97.775345,"615 Hale Avenue, Newman Grove, NE, 68758"
